id,year,statistic,team,value
id,year,statistic,Team,
619,1986,Fewest Walks Allowed,Boston,474.0
620,1986,Saves,New York,58.0
621,1986,Shutouts,Kansas City,13.0
622,1987,Complete Games,Boston,47.0
623,1987,ERA,Toronto,3.74
624,1987,Fewest Hits Allowed,Toronto,1.0
625,1987,Fewest Home Runs Allowed,Kansas City,128.0
626,1987,Fewest Walks Allowed,Seattle,497.0
627,1987,Saves,New York,47.0
628,1987,Shutouts,Boston,13.0
629,1988,Complete Games,Texas,41.0
630,1988,ERA,Oakland,3.44
631,1988,Fewest Hits Allowed,Texas,1.0
632,1988,Fewest Home Runs Allowed,Kansas City,102.0
633,1988,Fewest Walks Allowed,Milwaukee,437.0
634,1988,Saves,Oakland,64.0
635,1988,Shutouts,Toronto,17.0
636,1989,Complete Games,California,32.0
637,1989,ERA,Oakland,3.09
638,1989,Fewest Hits Allowed,Texas,1.0
639,1989,Fewest Home Runs Allowed,Kansas City,86.0
640,1989,Fewest Walks Allowed,Cleveland,452.0
641,1989,Saves,Oakland,57.0
642,1989,Shutouts,California,20.0
643,1989,Shutouts,Oakland,20.0
644,1990,Complete Games,Texas,25.0
645,1990,ERA,Oakland,3.18
646,1990,Fewest Hits Allowed,Oakland,1.0
647,1990,Fewest Home Runs Allowed,Boston,92.0
648,1990,Fewest Walks Allowed,Toronto,445.0
649,1990,Saves,Chicago,68.0
650,1990,Shutouts,Oakland,16.0
651,1991,Complete Games,Chicago,28.0
652,1991,ERA,Toronto,3.5
653,1991,Fewest Hits Allowed,Toronto,1.0
654,1991,Fewest Home Runs Allowed,Kansas City,105.0
655,1991,Fewest Walks Allowed,Cleveland,441.0
656,1991,Saves,Toronto,60.0
657,1991,Shutouts,Toronto,16.0
658,1992,Complete Games,California,26.0
659,1992,ERA,Milwaukee,3.43
660,1992,Fewest Hits Allowed,Milwaukee,1.0
661,1992,Fewest Home Runs Allowed,Kansas City,106.0
662,1992,Fewest Walks Allowed,Milwaukee,435.0
663,1992,Saves,Oakland,58.0
664,1992,Shutouts,Baltimore,16.0
665,1993,Complete Games,California,26.0
666,1993,Complete Games,Milwaukee,26.0
667,1993,ERA,Chicago,3.7
668,1993,Fewest Hits Allowed,Boston,1.0
669,1993,Fewest Hits Allowed,Kansas City,1.0
670,1993,Fewest Home Runs Allowed,Kansas City,105.0
671,1993,Fewest Walks Allowed,Minnesota,514.0
672,1993,Saves,Toronto,50.0
673,1993,Shutouts,New York,13.0
674,1994,Complete Games,Cleveland,17.0
675,1994,ERA,Chicago,3.96
676,1994,Fewest Hits Allowed,Chicago,964.0
677,1994,Fewest Home Runs Allowed,Cleveland,94.0
678,1994,Fewest Walks Allowed,Baltimore,351.0
679,1994,Saves,Kansas City,38.0
680,1994,Shutouts,Chicago,9.0
681,1994,Shutouts,Oakland,9.0
682,1995,Complete Games,Baltimore,19.0
683,1995,ERA,Cleveland,3.83
684,1995,Fewest Hits Allowed,Baltimore,1.0
685,1995,Fewest Home Runs Allowed,Boston,127.0
686,1995,Fewest Walks Allowed,Cleveland,445.0
687,1995,Saves,Cleveland,50.0
688,1995,Shutouts,Baltimore,10.0
689,1995,Shutouts,Cleveland,10.0
690,1995,Shutouts,Kansas City,10.0
691,1996,Complete Games,Texas,19.0
692,1996,Complete Games,Toronto,19.0
693,1996,ERA,Cleveland,4.34
694,1996,Fewest Hits Allowed,New York,1.0
695,1996,Fewest Home Runs Allowed,New York,143.0
696,1996,Fewest Walks Allowed,Kansas City,460.0
697,1996,Saves,New York,52.0
698,1996,Shutouts,Cleveland,9.0
699,1996,Shutouts,New York,9.0
700,1997,Complete Games,Toronto,19.0
701,1997,ERA,New York,3.84
702,1997,Fewest Hits Allowed,Baltimore,1.0
703,1997,Fewest Home Runs Allowed,New York,144.0
704,1997,Fewest Walks Allowed,Minnesota,495.0
705,1997,Saves,Baltimore,59.0
706,1997,Shutouts,Toronto,16.0
707,1998,Complete Games,New York,22.0
708,1998,ERA,New York,3.82
709,1998,Fewest Hits Allowed,New York,1.0
710,1998,Fewest Home Runs Allowed,New York,156.0
711,1998,Fewest Walks Allowed,Minnesota,458.0
712,1998,Saves,Boston,53.0
713,1998,Shutouts,New York,16.0
714,1999,Complete Games,Baltimore,17.0
715,1999,ERA,Boston,4.0
716,1999,Fewest Hits Allowed,Boston,1.0
717,1999,Fewest Home Runs Allowed,New York,158.0
718,1999,Fewest Walks Allowed,Boston,469.0
719,1999,Saves,Boston,50.0
720,1999,Saves,New York,50.0
721,1999,Shutouts,Baltimore,4.0
722,1999,Shutouts,New York,4.0
723,2000,Complete Games,Toronto,15.0
724,2000,ERA,Boston,4.24
725,2000,Fewest Hits Allowed,Boston,1.0
726,2000,Fewest Home Runs Allowed,Oakland,158.0
727,2000,Fewest Walks Allowed,Detroit,496.0
728,2000,Saves,Anaheim,46.0
729,2000,Saves,Boston,46.0
730,2000,Shutouts,Boston,12.0
731,2001,Complete Games,Detroit,16.0
732,2001,ERA,Seattle,3.54
733,2001,Fewest Hits Allowed,Seattle,1.0
734,2001,Fewest Home Runs Allowed,Boston,146.0
735,2001,Fewest Walks Allowed,Oakland,440.0
736,2001,Saves,New York,57.0
737,2001,Shutouts,Seattle,14.0
738,2002,Anaheim,99,63.0
739,2002,Baltimore,67,95.0
740,2002,Boston,93,69.0
741,2002,Chicago,81,81.0
742,2002,Cleveland,74,88.0
743,2002,Detroit,55,106.0
744,2002,Kansas City,62,100.0
745,2002,Minnesota,94,67.0
746,2002,New York,103,58.0
747,2002,Oakland,103,59.0
748,2002,Seattle,93,69.0
749,2002,Tampa Bay,55,106.0
750,2002,Texas,72,90.0
751,2002,Toronto,78,84.0
752,2003,Anaheim,77,85.0
753,2003,Baltimore,71,91.0
754,2003,Boston,95,67.0
755,2003,Chicago,86,76.0
756,2003,Cleveland,68,94.0
757,2003,Detroit,43,119.0
758,2003,Kansas City,83,79.0
759,2003,Minnesota,90,72.0
760,2003,New York,101,61.0
761,2003,Oakland,96,66.0
762,2003,Seattle,93,69.0
763,2003,Tampa Bay,63,99.0
764,2003,Texas,71,91.0
765,2003,Toronto,86,76.0
766,2004,Anaheim,92,70.0
767,2004,Baltimore,78,84.0
768,2004,Boston,98,64.0
769,2004,Chicago,83,79.0
770,2004,Cleveland,80,82.0
771,2004,Detroit,72,90.0
772,2004,Kansas City,58,104.0
773,2004,Minnesota,92,70.0
774,2004,New York,101,61.0
775,2004,Oakland,91,71.0
776,2004,Seattle,63,99.0
777,2004,Tampa Bay,70,91.0
778,2004,Texas,89,73.0
779,2004,Toronto,67,94.0
