id,year,statistic,name,team,value,top_25
277,1930,,Lefty Grove,Philadelphia,0.848,Top 25
278,1931,,Wes Ferrell,Cleveland,27.0,Top 25
279,1931,,Lefty Grove,Philadelphia,27.0,Top 25
280,1931,,Lefty Grove,Philadelphia,2.06,Top 25
281,1931,,Bump Hadley,Washington,55.0,Top 25
282,1931,,Wilcy Moore,Boston,10.0,Top 25
283,1931,,Lefty Grove,Philadelphia,4.0,Top 25
284,1931,,Lefty Grove,Philadelphia,175.0,Top 25
285,1931,,Lefty Grove,Philadelphia,0.886,Top 25
286,1932,,Lefty Grove,Philadelphia,27.0,Top 25
287,1932,,Lefty Grove,Philadelphia,2.84,Top 25
288,1932,,Firpo Marberry,Washington,54.0,Top 25
289,1932,,Firpo Marberry,Washington,13.0,Top 25
290,1932,,Tommy Bridges,Detroit,4.0,Top 25
291,1932,,Lefty Grove,Philadelphia,4.0,Top 25
292,1932,,Red Ruffing,New York,190.0,Top 25
293,1932,,Johnny Allen,New York,0.81,Top 25
294,1932,,Alvin Crowder,Washington,26.0,Top 25
295,1933,,Lefty Grove,Philadelphia,21.0,Top 25
296,1933,,Monte Pearson,Cleveland,2.33,Top 25
297,1933,,Alvin Crowder,Washington,52.0,Top 25
298,1933,,Jack Russell,Washington,13.0,Top 25
299,1933,,Oral Hildebrand,Cleveland,6.0,Top 25
300,1933,,Lefty Gomez,New York,163.0,Top 25
301,1933,,Lefty Grove,Philadelphia,0.75,Top 25
302,1933,,Lefty Grove,Philadelphia,24.0,Top 25
303,1934,,Lefty Gomez,New York,25.0,Top 25
304,1934,,Lefty Gomez,New York,2.33,Top 25
305,1934,,Jack Russell,Washington,54.0,Top 25
306,1934,,Jack Russell,Washington,7.0,Top 25
307,1934,,Mel Harder,Cleveland,6.0,Top 25
308,1934,,Lefty Gomez,New York,6.0,Top 25
309,1934,,Lefty Gomez,New York,158.0,Top 25
310,1934,,Lefty Gomez,New York,0.839,Top 25
311,1935,,Wes Ferrell,Boston,31.0,Top 25
312,1935,,Lefty Grove,Boston,2.7,Top 25
313,1935,,Russ Van Atta,New York,58.0,Top 25
314,1935,,Russ Van Atta,St. Louis,58.0,Top 25
315,1935,,Jack Knott,St. Louis,7.0,Top 25
316,1935,,Schoolboy Rowe,Detroit,6.0,Top 25
317,1935,,Tommy Bridges,Detroit,163.0,Top 25
318,1935,,Elden Auker,Detroit,0.72,Top 25
319,1935,,Wes Ferrell,Boston,25.0,Top 25
320,1936,,Wes Ferrell,Boston,28.0,Top 25
321,1936,,Lefty Grove,Philadelphia,2.81,Top 25
322,1936,,Russ Van Atta,St. Louis,52.0,Top 25
323,1936,,Pat Malone,New York,9.0,Top 25
324,1936,,Lefty Grove,Philadelphia,6.0,Top 25
325,1936,,Tommy Bridges,Detroit,175.0,Top 25
